ID,Taxable Year,Year Time Date,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Location
123,2013,01/01/2013 12:00:00 AM,Alameda,1563495,701389,57675447000,46217,8,272440,97715,4,2989539000,"(37.720225915, -122.1643521398)"
124,2013,01/01/2013 12:00:00 AM,Alpine,1112,290,15659000,35999,26,139,64230,24,489000,"(38.5884289088, -119.7124416877)"
125,2013,01/01/2013 12:00:00 AM,Amador,36028,14603,784282000,37846,18,7287,61823,27,25788000,"(38.4721621565, -120.5741947604)"
126,2013,01/01/2013 12:00:00 AM,Butte,221416,79572,3982518000,31630,36,33202,58764,34,134764000,"(39.5912729103, -121.672881832)"
127,2013,01/01/2013 12:00:00 AM,Calaveras,44852,17414,956329000,37833,19,8945,60358,29,33230000,"(38.254626978, -120.4657375512)"
128,2013,01/01/2013 12:00:00 AM,Colusa,21665,8763,439158000,31123,44,3938,48151,51,16737000,"(39.1679812527, -122.2990667236)"
129,2013,01/01/2013 12:00:00 AM,Contra Costa,1081948,452448,40694258000,48219,5,189382,96748,5,2171758000,"(37.9881795173, -121.9371401747)"
130,2013,01/01/2013 12:00:00 AM,Del Norte,28225,7921,352256000,31242,42,3483,54680,41,10041000,"(41.7055704676, -123.8920045065)"
131,2013,01/01/2013 12:00:00 AM,El Dorado,182958,70564,5771611000,47590,7,36014,86746,8,262102000,"(38.7639419688, -120.6060593379)"
132,2013,01/01/2013 12:00:00 AM,Fresno,956967,331603,16249545000,28791,54,125501,55476,40,542740000,"(36.8127602491, -119.6826941378)"
133,2013,01/01/2013 12:00:00 AM,Glenn,28628,10484,469047000,30416,46,4814,49730,48,14887000,"(39.5902867554, -122.0780967842)"
134,2013,01/01/2013 12:00:00 AM,Humboldt,134698,47647,2242973000,31463,40,18412,58557,35,68534000,"(40.8614851713, -123.858512375)"
135,2013,01/01/2013 12:00:00 AM,Imperial,179142,61021,2457007000,24058,58,25600,39653,58,65117000,"(33.0772937356, -114.7515356298)"
136,2013,01/01/2013 12:00:00 AM,Inyo,18584,7951,409616000,36266,25,3382,67101,22,13372000,"(36.6335025458, -118.2559592243)"
137,2013,01/01/2013 12:00:00 AM,Kern,865511,288794,15020856000,30938,45,115865,59935,31,534749000,"(35.3767677315, -118.8073572315)"
138,2013,01/01/2013 12:00:00 AM,Kings,150507,43690,1896181000,29537,50,17879,50544,47,55265000,"(36.0194711905, -120.0181641349)"
139,2013,01/01/2013 12:00:00 AM,Lake,64209,20952,889774000,29329,51,8915,48439,50,24129000,"(39.0650048105, -122.6570192092)"
140,2013,01/01/2013 12:00:00 AM,Lassen,33686,8990,464757000,40012,11,4309,67858,21,12680000,"(40.432559223, -120.649559068)"
141,2013,01/01/2013 12:00:00 AM,Los Angeles,10013265,4099191,267252031000,31516,39,1319600,62724,26,13466440000,"(34.059483301, -118.242048005)"
142,2013,01/01/2013 12:00:00 AM,Madera,152857,50816,2161368000,27755,56,21837,47867,53,65591000,"(37.0963712262, -119.8904305187)"
143,2013,01/01/2013 12:00:00 AM,Marin,255778,120641,17566433000,57244,1,49407,133389,1,1283240000,"(38.0395257253, -122.7299513281)"
144,2013,01/01/2013 12:00:00 AM,Mariposa,17890,6302,290078000,32657,32,2981,53478,43,7688000,"(37.7228934942, -119.9767358253)"
145,2013,01/01/2013 12:00:00 AM,Mendocino,88281,33901,1504621000,29938,48,13717,51489,45,47799000,"(39.310341487, -123.6517776)"
146,2013,01/01/2013 12:00:00 AM,Merced,262336,84671,3442390000,28087,55,35353,46577,56,94998000,"(37.1324242, -120.7167521351)"
147,2013,01/01/2013 12:00:00 AM,Modoc,9485,2779,114859000,29789,49,1322,48051,52,3319000,"(41.7136817674, -120.9430720233)"
148,2013,01/01/2013 12:00:00 AM,Mono,14477,5204,262347000,31546,37,1923,63019,25,10220000,"(38.347099968, -119.332726941)"
149,2013,01/01/2013 12:00:00 AM,Monterey,423943,167104,9224800000,31433,41,61028,59065,33,367276000,"(36.3247066901, -121.2968357606)"
150,2013,01/01/2013 12:00:00 AM,Napa,138932,61635,4765437000,42110,9,25807,78352,12,257918000,"(38.4593816055, -122.332855649)"
151,2013,01/01/2013 12:00:00 AM,Nevada,97808,40638,2426634000,36869,22,18623,66443,23,96606000,"(39.295488587, -120.900873267)"
153,2013,01/01/2013 12:00:00 AM,Orange,3099463,1340015,101954413000,38322,15,534751,80550,9,5344332000,"(33.6607343284, -117.9361373118)"
154,2013,01/01/2013 12:00:00 AM,Placer,364724,163524,12054188000,47961,6,79484,87258,7,519076000,"(39.0316205043, -120.883066536)"
155,2013,01/01/2013 12:00:00 AM,Plumas,19792,7099,346908000,35679,27,3454,56621,39,10478000,"(40.0051065473, -121.0077456568)"
157,2013,01/01/2013 12:00:00 AM,Riverside,2264569,835862,42268185000,32188,34,341378,60302,30,1294104000,"(33.7775741011, -115.4706931408)"
158,2013,01/01/2013 12:00:00 AM,Sacramento,1445457,573760,31973912000,37495,20,217692,70298,19,1135935000,"(38.1923781038, -121.6020642617)"
159,2013,01/01/2013 12:00:00 AM,San Benito,57146,23315,1323625000,36726,23,9727,72577,18,46421000,"(36.5002490695, -121.0915104526)"
160,2013,01/01/2013 12:00:00 AM,San Bernardino,2074080,739455,35186033000,31134,43,282075,59136,32,1004183000,"(34.5225859882, -115.5372574142)"
161,2013,01/01/2013 12:00:00 AM,San Diego,3176770,1326440,91043020000,37998,17,523704,75367,16,4305807000,"(32.7896401368, -117.1936576839)"
162,2013,01/01/2013 12:00:00 AM,San Francisco,830956,428120,50491011000,49777,4,119270,93404,6,3583491000,"(37.7577, -122.4376)"
163,2013,01/01/2013 12:00:00 AM,San Joaquin,702669,255926,12739929000,33249,31,105420,61615,28,423714000,"(37.933702997, -121.3444013773)"
164,2013,01/01/2013 12:00:00 AM,San Luis Obispo,271584,115317,7463941000,39170,14,49276,74208,17,349109000,"(35.2743501474, -120.6124974002)"
165,2013,01/01/2013 12:00:00 AM,San Mateo,742256,339023,47867382000,53972,2,137543,115651,2,3528521000,"(37.4394413948, -122.3344602608)"
