Employee Name,Job Title,Base Pay,Overtime Pay,Other Pay,Benefits,Total Pay,Total Pay & Benefits,Year,Notes,Agency,Status
Jeannie Davis,City Manager,169638.01,Not Provided,Not Provided,Not Provided,169638.01,169638.01,2016,,Fowler,""
Michael Brand,Police Chief,115025.37,Not Provided,Not Provided,Not Provided,115025.37,115025.37,2016,,Fowler,""
Kenneth McDonald,Finance Director,107273.64,Not Provided,Not Provided,Not Provided,107273.64,107273.64,2016,,Fowler,""
Jeannie Davis,City Clerk,104290.05,Not Provided,Not Provided,Not Provided,104290.05,104290.05,2016,,Fowler,""
Not Provided,Public Works Director,95578.00,Not Provided,Not Provided,Not Provided,95578.00,95578.00,2016,,Fowler,""
Not Provided,Police Sargent,75508.49,Not Provided,Not Provided,Not Provided,75508.49,75508.49,2016,,Fowler,""
Not Provided,Police Sargent,71970.34,Not Provided,Not Provided,Not Provided,71970.34,71970.34,2016,,Fowler,""
Not Provided,Police Officer,68503.79,Not Provided,Not Provided,Not Provided,68503.79,68503.79,2016,,Fowler,""
Not Provided,Police Officer,68317.51,Not Provided,Not Provided,Not Provided,68317.51,68317.51,2016,,Fowler,""
Not Provided,Police Sargent,67551.17,Not Provided,Not Provided,Not Provided,67551.17,67551.17,2016,,Fowler,""
Not Provided,Police Officer,66903.23,Not Provided,Not Provided,Not Provided,66903.23,66903.23,2016,,Fowler,""
Not Provided,Police Officer,66100.79,Not Provided,Not Provided,Not Provided,66100.79,66100.79,2016,,Fowler,""
Not Provided,Supervisor/Volunteer Fire Chief,61569.88,Not Provided,Not Provided,Not Provided,61569.88,61569.88,2016,,Fowler,""
Not Provided,Police Officer,60683.57,Not Provided,Not Provided,Not Provided,60683.57,60683.57,2016,,Fowler,""
Not Provided,Police Officer,60120.81,Not Provided,Not Provided,Not Provided,60120.81,60120.81,2016,,Fowler,""
Not Provided,Accounting Technician,59320.26,Not Provided,Not Provided,Not Provided,59320.26,59320.26,2016,,Fowler,""
Not Provided,Building Official,54925.15,Not Provided,Not Provided,Not Provided,54925.15,54925.15,2016,,Fowler,""
Not Provided,Police Officer,54471.38,Not Provided,Not Provided,Not Provided,54471.38,54471.38,2016,,Fowler,""
Not Provided,Maintenance Worker,53694.87,Not Provided,Not Provided,Not Provided,53694.87,53694.87,2016,,Fowler,""
Not Provided,Police/Planning Secretary,50156.73,Not Provided,Not Provided,Not Provided,50156.73,50156.73,2016,,Fowler,""
Not Provided,Maintenance Worker,48852.87,Not Provided,Not Provided,Not Provided,48852.87,48852.87,2016,,Fowler,""
Not Provided,Maintenance Worker,48685.08,Not Provided,Not Provided,Not Provided,48685.08,48685.08,2016,,Fowler,""
